name,type,address,image
覚王山 北山霊園,民営墓地,愛知県名古屋市千種区南ヶ丘2-57-7,https://s3.lifedot.jp/uploads/ending/path/8395/003_ce03810.jpg
南山やすらぎ霊園,民営墓地,愛知県豊田市千鳥町梨ノ木258,https://s3.lifedot.jp/uploads/ending/path/17558/001_ce03893.jpg
小牧メモリアルパーク,民営墓地,愛知県小牧市大草年上坂6204,https://s3.lifedot.jp/uploads/ending/path/6568/03_%E5%B0%8F%E7%89%A7MP_%E7%94%9F%E6%88%90%E7%94%BB%E5%83%8F-02-min.jpg
伏屋墓苑,民営墓地,愛知県名古屋市中川区長須賀2丁目,https://s3.lifedot.jp/uploads/ending/path/1913/001_ce03846.jpg
總見院墓地,民営墓地,愛知県清須市大嶋１丁目５番地,https://s3.lifedot.jp/uploads/ending/path/3751/001_ce03886.jpg
